,Date,Open,High,Low,Close,Adj Close,Volume,symbol
260,2016-01-14,40.442001,42.0,38.675999,41.236,41.236,32453500,TSLA
261,2016-01-15,39.793999,41.014,39.450001,40.998001,40.998001,27893000,TSLA
262,2016-01-19,41.742001,42.094002,40.155998,40.944,40.944,20193500,TSLA
263,2016-01-20,39.880001,40.256001,38.25,39.740002,39.740002,29193000,TSLA
264,2016-01-21,40.310001,40.646,39.004002,39.993999,39.993999,15831000,TSLA
265,2016-01-22,40.959999,41.099998,39.806,40.509998,40.509998,15620500,TSLA
266,2016-01-25,40.012001,40.714001,39.175999,39.276001,39.276001,13493500,TSLA
267,2016-01-26,39.34,39.563999,37.776001,38.712002,38.712002,24821000,TSLA
268,2016-01-27,38.476002,38.652,37.153999,37.613998,37.613998,18086000,TSLA
269,2016-01-28,38.158001,38.256001,36.481998,37.939999,37.939999,22964000,TSLA
270,2016-01-29,37.990002,38.748001,37.616001,38.240002,38.240002,14261500,TSLA
271,2016-02-01,37.751999,39.903999,36.549999,39.388,39.388,26488000,TSLA
272,2016-02-02,38.484001,38.624001,36.046001,36.556,36.556,28868000,TSLA
273,2016-02-03,36.717999,36.787998,34.035999,34.695999,34.695999,39657000,TSLA
274,2016-02-04,34.139999,35.195999,33.397999,35.066002,35.066002,21927000,TSLA
275,2016-02-05,34.259998,34.599998,31.548,32.52,32.52,47188000,TSLA
276,2016-02-08,31.42,31.43,29.200001,29.598,29.598,46565000,TSLA
277,2016-02-09,28.464001,31.958,28.209999,29.65,29.65,43258000,TSLA
278,2016-02-10,30.1,30.993999,28.348,28.733999,28.733999,52032500,TSLA
279,2016-02-11,30.4,32.652,29.4,30.094,30.094,71262000,TSLA
280,2016-02-12,31.0,31.402,28.74,30.208,30.208,36179000,TSLA
281,2016-02-16,31.74,32.59,30.822001,31.034,31.034,27969000,TSLA
282,2016-02-17,31.799999,33.868,31.336,33.736,33.736,29126000,TSLA
283,2016-02-18,34.484001,34.59,32.953999,33.354,33.354,19438000,TSLA
284,2016-02-19,32.731998,33.498001,32.5,33.316002,33.316002,14797000,TSLA
285,2016-02-22,34.023998,35.782001,33.970001,35.548,35.548,25300500,TSLA
286,2016-02-23,35.231998,36.346001,34.736,35.442001,35.442001,29922000,TSLA
287,2016-02-24,34.549999,35.900002,33.568001,35.799999,35.799999,26978000,TSLA
288,2016-02-25,35.73,37.703999,35.040001,37.486,37.486,28753500,TSLA
289,2016-02-26,37.740002,38.400002,37.0,38.068001,38.068001,30325500,TSLA
290,2016-02-29,38.48,39.27,37.844002,38.386002,38.386002,22495000,TSLA
291,2016-03-01,38.849998,39.189999,36.540001,37.27,37.27,33561000,TSLA
292,2016-03-02,36.745998,37.703999,36.299999,37.667999,37.667999,24312000,TSLA
293,2016-03-03,37.655998,39.484001,36.844002,39.147999,39.147999,24145000,TSLA
294,2016-03-04,39.599998,40.806,39.5,40.208,40.208,32445500,TSLA
295,2016-03-07,39.535999,41.939999,39.48,41.057999,41.057999,26647000,TSLA
296,2016-03-08,40.700001,41.5,40.439999,40.52,40.52,20893500,TSLA
297,2016-03-09,40.903999,41.874001,40.557999,41.743999,41.743999,16043000,TSLA
298,2016-03-10,42.0,42.658001,40.133999,41.035999,41.035999,25962500,TSLA
299,2016-03-11,41.585999,41.883999,41.066002,41.5,41.5,16715500,TSLA
300,2016-03-14,42.529999,43.344002,42.127998,43.029999,43.029999,20328500,TSLA
301,2016-03-15,42.854,43.793999,42.299999,43.667999,43.667999,15902500,TSLA
302,2016-03-16,43.599998,44.515999,43.403999,44.386002,44.386002,17583500,TSLA
303,2016-03-17,44.293999,45.700001,44.0,45.276001,45.276001,18914500,TSLA
304,2016-03-18,45.82,46.896,45.612,46.548,46.548,23559000,TSLA
305,2016-03-21,47.068001,47.976002,47.0,47.664001,47.664001,26539000,TSLA
306,2016-03-22,47.442001,47.798,46.512001,46.848,46.848,21580000,TSLA
307,2016-03-23,46.473999,46.945999,44.405998,44.515999,44.515999,24744000,TSLA
308,2016-03-24,43.155998,45.778,43.0,45.549999,45.549999,24804500,TSLA
309,2016-03-28,46.321999,46.962002,45.0,46.051998,46.051998,19628500,TSLA
310,2016-03-29,45.978001,46.476002,45.066002,46.026001,46.026001,20071500,TSLA
311,2016-03-30,47.018002,47.099998,45.299999,45.377998,45.377998,20165000,TSLA
312,2016-03-31,45.868,47.484001,45.001999,45.953999,45.953999,40064500,TSLA
313,2016-04-01,48.966,49.580002,46.650002,47.518002,47.518002,79987500,TSLA
314,2016-04-04,49.824001,50.424,48.728001,49.397999,49.397999,67376500,TSLA
315,2016-04-05,48.099998,51.312,48.0,51.094002,51.094002,49743500,TSLA
316,2016-04-06,50.793999,53.548,50.689999,53.084,53.084,58527500,TSLA
317,2016-04-07,53.290001,53.868,50.902,51.439999,51.439999,44281000,TSLA
318,2016-04-08,52.099998,52.164001,49.604,50.014,50.014,36819500,TSLA
319,2016-04-11,50.200001,51.798,49.060001,49.984001,49.984001,45808500,TSLA
320,2016-04-12,49.900002,50.360001,48.726002,49.563999,49.563999,28816000,TSLA
321,2016-04-13,49.702,51.099998,49.466,50.905998,50.905998,24628000,TSLA
322,2016-04-14,50.599998,51.368,50.209999,50.372002,50.372002,20661000,TSLA
323,2016-04-15,50.262001,50.919998,49.824001,50.902,50.902,18762000,TSLA
324,2016-04-18,50.445999,51.661999,50.332001,50.776001,50.776001,21357000,TSLA
325,2016-04-19,50.624001,50.874001,48.25,49.473999,49.473999,31787500,TSLA
326,2016-04-20,49.251999,50.731998,48.299999,49.993999,49.993999,25970500,TSLA
327,2016-04-21,49.798,50.18,49.382,49.658001,49.658001,13915500,TSLA
328,2016-04-22,49.778,50.799999,49.141998,50.75,50.75,18931500,TSLA
329,2016-04-25,50.602001,51.476002,50.152,50.363998,50.363998,18351500,TSLA
330,2016-04-26,50.41,51.146,49.877998,50.748001,50.748001,16119000,TSLA
331,2016-04-27,50.549999,51.0,49.880001,50.293999,50.293999,16029000,TSLA
332,2016-04-28,49.970001,50.686001,49.487999,49.542,49.542,12595000,TSLA
333,2016-04-29,49.627998,49.686001,47.562,48.152,48.152,27069000,TSLA
334,2016-05-02,48.299999,48.638,46.964001,48.360001,48.360001,19219500,TSLA
335,2016-05-03,47.472,47.782001,46.324001,46.464001,46.464001,21511000,TSLA
336,2016-05-04,46.057999,46.891998,44.080002,44.512001,44.512001,43502500,TSLA
337,2016-05-05,45.692001,45.728001,41.958,42.306,42.306,56274000,TSLA
338,2016-05-06,42.174,43.273998,41.622002,42.986,42.986,28426000,TSLA
339,2016-05-09,43.144001,43.23,41.360001,41.784,41.784,23882000,TSLA
340,2016-05-10,41.509998,41.894001,41.0,41.737999,41.737999,20353000,TSLA
341,2016-05-11,41.518002,43.096001,41.209999,41.792,41.792,25809500,TSLA
342,2016-05-12,42.287998,42.334,40.731998,41.456001,41.456001,18252500,TSLA
343,2016-05-13,41.556,42.240002,41.34,41.521999,41.521999,14114000,TSLA
344,2016-05-16,41.630001,42.630001,41.584,41.658001,41.658001,14747000,TSLA
345,2016-05-17,41.810001,41.964001,40.804001,40.931999,40.931999,14218000,TSLA
346,2016-05-18,41.830002,43.062,41.549999,42.234001,42.234001,28087500,TSLA
347,2016-05-19,42.723999,43.358002,41.459999,43.042,43.042,34331500,TSLA
348,2016-05-20,43.397999,44.110001,43.27,44.056,44.056,45035500,TSLA
349,2016-05-23,43.973999,44.52,43.172001,43.243999,43.243999,25512500,TSLA
350,2016-05-24,43.32,43.748001,43.035999,43.582001,43.582001,15069000,TSLA
351,2016-05-25,43.582001,44.271999,43.301998,43.916,43.916,15634000,TSLA
352,2016-05-26,44.099998,45.051998,43.810001,45.023998,45.023998,20362000,TSLA
353,2016-05-27,44.998001,45.186001,44.150002,44.608002,44.608002,18251500,TSLA
354,2016-05-31,44.608002,44.950001,44.299999,44.646,44.646,13945000,TSLA
355,2016-06-01,44.296001,44.48,43.377998,43.911999,43.911999,14913500,TSLA
356,2016-06-02,43.917999,43.981998,43.422001,43.792,43.792,10164000,TSLA
357,2016-06-03,44.0,44.388,43.602001,43.798,43.798,11145000,TSLA
358,2016-06-06,43.599998,44.18,43.09,44.136002,44.136002,11247500,TSLA
359,2016-06-07,44.448002,46.888,44.304001,46.467999,46.467999,31068000,TSLA
360,2016-06-08,46.759998,48.169998,46.521999,47.104,47.104,29860000,TSLA
361,2016-06-09,46.995998,47.066002,45.411999,45.872002,45.872002,22460500,TSLA
362,2016-06-10,45.478001,45.594002,43.683998,43.757999,43.757999,30133000,TSLA
363,2016-06-13,43.900002,45.153999,43.532001,43.574001,43.574001,20965000,TSLA
364,2016-06-14,43.776001,44.439999,42.506001,42.992001,42.992001,17901000,TSLA
365,2016-06-15,43.389999,44.380001,43.026001,43.540001,43.540001,14542500,TSLA
366,2016-06-16,43.484001,43.608002,42.700001,43.585999,43.585999,12201500,TSLA
367,2016-06-17,43.562,43.998001,42.900002,43.094002,43.094002,15563000,TSLA
368,2016-06-20,43.900002,44.75,43.646,43.939999,43.939999,17777500,TSLA
369,2016-06-21,44.136002,44.514,43.762001,43.922001,43.922001,22645000,TSLA
370,2016-06-22,39.894001,41.189999,39.150002,39.332001,39.332001,118712000,TSLA
371,2016-06-23,39.138,39.509998,38.425999,39.279999,39.279999,50653500,TSLA
372,2016-06-24,38.009998,39.023998,37.945999,38.630001,38.630001,35132500,TSLA
373,2016-06-27,38.172001,39.762001,37.574001,39.709999,39.709999,36027000,TSLA
374,2016-06-28,40.377998,40.810001,39.882,40.358002,40.358002,31062000,TSLA
375,2016-06-29,41.026001,42.355999,40.599998,42.037998,42.037998,29974500,TSLA
376,2016-06-30,42.594002,42.700001,41.804001,42.456001,42.456001,24215500,TSLA
